AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2024;2024-12;6/12/2024;6/12/2024;40411236;NOYA GONZALES CRISTIAN HERNAN;3;BOLETA;B001-00004093;USD;3.74;37.27;6.71;43.98;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-12;13/12/2024;13/12/2024;7722179;ALVAREZ RIBERA DE MORA MARTHA;3;BOLETA;B001-00004094;USD;3.74;11.11;2;13.11;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;EDISON CHAN
2024;2024-12;16/12/2024;16/12/2024;43651484;LUNA ROJAS HECTOR;3;BOLETA;B001-00004095;USD;3.74;1,140.00;205.2;1,345.20;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JUAN JAIME
2024;2024-12;16/12/2024;16/12/2024;80321071;CALLE ROJAS ROGELIO;3;BOLETA;B001-00004096;USD;3.74;3.68;0.66;4.34;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;AMADOR PEREZ
2024;2024-03;27/03/2024;26/05/2024;20607502979;GRUPO KAMSAC E.I.R.L.;1;FACTURA;F001-00039383;USD;3.73;2,786.96;501.65;3,288.61;0;0;0;CREDITO;Factura a 60 día;OTROS;;;0;0;0;0;0;0;0;HILDER ALIAGA
2024;2024-03;27/03/2024;27/03/2024;20610829326;INGENIERIA ESPINOZA Y REPARACIONES S.A.C.;1;FACTURA;F001-00039404;USD;3.73;81.4;14.65;96.05;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-03;27/03/2024;27/03/2024;20601607167;FILMARG S.A.C.;1;FACTURA;F001-00039407;USD;3.73;216;38.88;254.88;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-03;27/03/2024;27/03/2024;20606564385;COMPAÑIA CHACON S.A.C;1;FACTURA;F001-00039408;USD;3.73;1,468.53;264.34;1,732.87;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-03;27/03/2024;27/03/2024;20605154221;FACTORY WORLD HIDRAULIC S.A.C.;1;FACTURA;F001-00039415;USD;3.73;196.67;35.4;232.07;0;0;0;CONTADO;Contado;NOTA DE CRÉDIT;F001-00001481;USD;3.727;-196.67;-35.4;-232.07;0;0;0;KLEBER SANTA CRUZ
2024;2024-04;1/04/2024;1/04/2024;20491612046;FILTROS CAJAMARCA E.I.R.L.;1;FACTURA;F001-00039417;USD;3.72;300;54;354;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
